,frame,synthesizer,camera_position,scene,pose_traces,QP,numGroup,psnr,ssim,vmaf,x,y,z,yaw,pitch,roll
32,32,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,17.602331,0.834315,72.457905,0.0,-0.0,-0.0,-90.0,-0.0,-80.0
31,31,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,17.377276,0.841929,73.345349,0.0,-0.0,-0.0,-90.0,-0.0,-75.0
30,30,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,17.871309,0.852982,75.619978,0.0,-0.0,-0.0,-90.0,-0.0,-70.0
29,29,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,18.417677,0.863474,77.129887,0.0,-0.0,-0.0,-90.0,-0.0,-65.0
28,28,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,18.881849,0.879683,78.917707,0.0,-0.0,-0.0,-90.0,-0.0,-60.0
27,27,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,19.361714,0.889582,81.761625,0.0,-0.0,-0.0,-90.0,-0.0,-55.0
26,26,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,19.803288,0.89709,83.127762,0.0,-0.0,-0.0,-90.0,-0.0,-50.0
25,25,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,20.543229,0.907515,82.890799,0.0,-0.0,-0.0,-90.0,-0.0,-45.0
24,24,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,20.592924,0.913912,87.62892,0.0,-0.0,-0.0,-90.0,-0.0,-40.0
23,23,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,21.217725,0.925295,90.325165,0.0,-0.0,-0.0,-90.0,-0.0,-35.0
22,22,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,22.276074,0.935408,92.297276,0.0,-0.0,-0.0,-90.0,-0.0,-30.0
21,21,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,23.940826,0.947236,94.342243,0.0,-0.0,-0.0,-90.0,-0.0,-25.0
20,20,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,25.138546,0.957187,97.827825,0.0,-0.0,-0.0,-90.0,-0.0,-20.0
19,19,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,27.763904,0.969538,100.0,0.0,-0.0,-0.0,-90.0,-0.0,-15.0
18,18,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,29.520037,0.979878,100.0,0.0,-0.0,-0.0,-90.0,-0.0,-10.0
17,17,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,33.735848,0.989568,100.0,0.0,-0.0,-0.0,-90.0,-0.0,-5.0
0,0,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,34.146255,0.98867,100.0,0.0,-0.0,-0.0,-90.0,-0.0,0.0
1,1,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,34.335024,0.989182,100.0,0.0,-0.0,-0.0,-90.0,-0.0,5.0
2,2,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,30.059335,0.982643,100.0,0.0,-0.0,-0.0,-90.0,-0.0,10.0
3,3,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,26.347254,0.972379,100.0,0.0,-0.0,-0.0,-90.0,-0.0,15.0
4,4,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,24.778496,0.961006,99.965419,0.0,-0.0,-0.0,-90.0,-0.0,20.0
5,5,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,24.046614,0.950347,97.331018,0.0,-0.0,-0.0,-90.0,-0.0,25.0
6,6,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,23.324941,0.940361,95.031399,0.0,-0.0,-0.0,-90.0,-0.0,30.0
7,7,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,22.493524,0.931013,92.479599,0.0,-0.0,-0.0,-90.0,-0.0,35.0
8,8,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,21.723974,0.921844,90.17958,0.0,-0.0,-0.0,-90.0,-0.0,40.0
9,9,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,21.115531,0.910112,86.533091,0.0,-0.0,-0.0,-90.0,-0.0,45.0
10,10,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,20.88664,0.904777,84.763867,0.0,-0.0,-0.0,-90.0,-0.0,50.0
11,11,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,20.63273,0.898738,83.22212,0.0,-0.0,-0.0,-90.0,-0.0,55.0
12,12,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,20.371457,0.886151,81.153616,0.0,-0.0,-0.0,-90.0,-0.0,60.0
13,13,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,19.993605,0.875385,77.37071,0.0,-0.0,-0.0,-90.0,-0.0,65.0
14,14,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,19.50347,0.863781,75.869054,0.0,-0.0,-0.0,-90.0,-0.0,70.0
15,15,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,19.117242,0.858415,74.523269,0.0,-0.0,-0.0,-90.0,-0.0,75.0
16,16,AdditiveSynthesizer,18x2,RealisticRendering,pose0,0,1,18.856688,0.849011,73.571644,0.0,-0.0,-0.0,-90.0,-0.0,80.0
