,frame,synthesizer,camera_position,scene,pose_traces,QP,numGroup,psnr,ssim,vmaf,x,y,z,yaw,pitch,roll
16,16,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,12.558002,0.520579,17.472221,0.0,-0.0,-0.0,-170.0,-0.0,0.0
15,15,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,13.175323,0.539784,23.52323,0.0,-0.0,-0.0,-165.0,-0.0,0.0
14,14,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,13.563124,0.591951,23.98724,0.0,-0.0,-0.0,-160.0,-0.0,0.0
13,13,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,13.869533,0.621022,21.524385,0.0,-0.0,-0.0,-155.0,-0.0,0.0
12,12,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,13.993588,0.650352,26.006768,0.0,-0.0,-0.0,-150.0,-0.0,0.0
11,11,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,14.588243,0.688421,23.673555,0.0,-0.0,-0.0,-145.0,-0.0,0.0
10,10,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,14.607597,0.689815,32.292345,0.0,-0.0,-0.0,-140.0,-0.0,0.0
9,9,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,14.468799,0.714331,53.090459,0.0,-0.0,-0.0,-135.0,-0.0,0.0
8,8,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,14.89506,0.766366,55.982513,0.0,-0.0,-0.0,-130.0,-0.0,0.0
7,7,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,15.990672,0.80221,64.268414,0.0,-0.0,-0.0,-125.0,-0.0,0.0
6,6,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,16.743248,0.830599,68.326591,0.0,-0.0,-0.0,-120.0,-0.0,0.0
5,5,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,17.635116,0.859359,72.048823,0.0,-0.0,-0.0,-115.0,-0.0,0.0
4,4,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,18.114646,0.888596,81.804145,0.0,-0.0,-0.0,-110.0,-0.0,0.0
3,3,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,22.189945,0.941338,92.052111,0.0,-0.0,-0.0,-105.0,-0.0,0.0
2,2,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,28.569866,0.980061,100.0,0.0,-0.0,-0.0,-100.0,-0.0,0.0
1,1,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,33.45837,0.988096,100.0,0.0,-0.0,-0.0,-95.0,-0.0,0.0
0,0,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,34.141341,0.988592,100.0,0.0,-0.0,-0.0,-90.0,-0.0,0.0
17,17,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,32.626951,0.986172,100.0,0.0,-0.0,-0.0,-85.0,-0.0,0.0
18,18,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,27.018776,0.975587,100.0,0.0,-0.0,-0.0,-80.0,-0.0,0.0
19,19,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,20.429256,0.923094,93.893147,0.0,-0.0,-0.0,-75.0,-0.0,0.0
20,20,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,18.14802,0.876264,89.296,0.0,-0.0,-0.0,-70.0,-0.0,0.0
21,21,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,16.723116,0.839631,85.175655,0.0,-0.0,-0.0,-65.0,-0.0,0.0
22,22,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,15.862916,0.812244,87.130781,0.0,-0.0,-0.0,-60.0,-0.0,0.0
23,23,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,15.100623,0.785449,86.103775,0.0,-0.0,-0.0,-55.0,-0.0,0.0
24,24,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,14.54606,0.74761,80.059651,0.0,-0.0,-0.0,-50.0,-0.0,0.0
25,25,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,14.317792,0.726406,73.272424,0.0,-0.0,-0.0,-45.0,-0.0,0.0
26,26,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,13.912691,0.704982,70.704946,0.0,-0.0,-0.0,-40.0,-0.0,0.0
27,27,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,12.437969,0.660184,74.05447,0.0,-0.0,-0.0,-35.0,-0.0,0.0
28,28,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,11.910628,0.636955,71.744302,0.0,-0.0,-0.0,-30.0,-0.0,0.0
29,29,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,11.564767,0.611305,62.015298,0.0,-0.0,-0.0,-25.0,-0.0,0.0
30,30,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,11.261927,0.56804,49.205791,0.0,-0.0,-0.0,-20.0,-0.0,0.0
31,31,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,10.994238,0.538307,43.175852,0.0,-0.0,-0.0,-15.0,-0.0,0.0
32,32,AdditiveSynthesizer,18x2,RealisticRendering,pose2,0,1,10.671704,0.508576,40.288092,0.0,-0.0,-0.0,-10.0,-0.0,0.0
